Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
31948,10441,1400,HPK,7.6,148.2,3.42,350,225,273,18233.819091919213,440.42527360695436,18613.27498772124,590.9720718325168,,,,,,,,,
31949,10441,1800,HPK,7.6,148.2,3.42,350,226,260,13541.1641225512,378.63497659289965,20354.30381857197,616.5140860454171,1.5204613227496793,0.010534559608418204,0.29016755008928147,0.007637442578274561,0.9877561841868291,0.003053734997365831,1.5129751830953524,1.3754319846321381,1.3674574414292773
31950,10441,2200,HPK,7.6,148.2,3.42,350,231,255,11297.244469103638,343.92346255406017,20535.258151832677,615.8114692125167,,,,,,,1.5420177740940557,1.4318736473730518,1.3278073412263267
31951,10441,2800,HPK,7.6,148.2,3.42,350,234,252,10741.925757169658,335.35784177430156,20589.88639553264,616.6184521230297,,,,,,,,,
31952,10441,3400,HPK,7.6,148.2,3.42,350,236,251,11200.874283144047,342.260820692003,20530.612859269124,615.3955217074902,,,,,,,,,
31953,10441,4000,HPK,7.6,148.2,3.42,350,235,250,11491.812955134617,347.44005703429264,22177.351221655234,641.0067447311725,,,,,,,,,
31960,10441,1400,HPK,7.6,148.2,3.42,400,230,262,13804.27536192608,382.2740503773858,14059.675461612942,512.3630566702478,,,,,,,,,
31961,10441,1800,HPK,7.6,148.2,3.42,400,221,257,10476.850113974528,333.6508789696335,14168.370619387188,515.2986574407155,1.5540455180095154,0.008911764999537497,0.16505851510511874,0.005975138269883773,0.9557369450661777,0.0031610424548195737,1.357060461909197,1.0856483695273578,1.5189891191154996
31962,10441,2200,HPK,7.6,148.2,3.42,400,228,253,7852.383785563182,287.68908253372206,15281.33722631906,532.9978424250766,,,,,,,1.4282359441912045,1.2085073373925577,1.4681777920054493
31963,10441,2800,HPK,7.6,148.2,3.42,400,232,253,8009.777862160622,291.3128043899414,14370.415108781614,518.2104226382829,,,,,,,,,
31964,10441,3400,HPK,7.6,148.2,3.42,400,235,251,8711.967989154795,304.9798816975752,14725.741168020179,526.5914290804374,,,,,,,,,
31965,10441,4000,HPK,7.6,148.2,3.42,400,236,250,7784.546876089627,285.58732678364845,14912.908613696016,524.9592458607455,,,,,,,,,
31972,10441,1400,HPK,7.6,148.2,3.42,450,224,266,11367.12281416299,344.93371006484995,12239.919254194212,475.35907416969167,,,,,,,,,
31973,10441,1800,HPK,7.6,148.2,3.42,450,219,257,9329.564705756211,312.5521776397558,12022.892473750573,471.21430778771224,1.5912417188096006,0.006606571736286981,0.11948312601837671,0.003688941725692639,0.940899896320448,0.002665374972143475,1.5081048404711743,1.0282533003212553,1.590943843173899
31974,10441,2200,HPK,7.6,148.2,3.42,450,227,254,6922.818346587161,269.26642616556467,12136.435255941718,473.48743507566104,,,,,,,1.514785179517873,0.7573925897589364,1.5613611580145272
31975,10441,2800,HPK,7.6,148.2,3.42,450,233,253,6326.499346147743,260.0175214236735,12892.649018665841,492.962756025467,,,,,,,1.231246229174124,,
31976,10441,3400,HPK,7.6,148.2,3.42,450,236,252,6486.310455395656,262.83856366231845,12586.342308234487,486.25282518467674,,,,,,,,,
31977,10441,4000,HPK,7.6,148.2,3.42,450,235,250,6201.09514692238,254.86344058455123,12304.535252160944,476.79105630126486,,,,,,,,,
31984,10441,1400,HPK,7.6,148.2,3.42,500,224,257,10351.085322307837,329.478675975687,10192.12243273199,434.19901365061855,,,,,,,0.6587501461102732,,
31985,10441,1800,HPK,7.6,148.2,3.42,500,226,258,8243.376138277219,293.84462472183134,10789.157399322383,446.4585098368507,1.7064280320255267,0.006280212682477027,0.12045017553642655,0.0035010880398639657,0.9376709457196475,0.0028424716416438067,1.1582383173763295,0.7494483230082132,1.7158797064937363
31986,10441,2200,HPK,7.6,148.2,3.42,500,229,256,5476.89308233427,239.48781323282026,11451.6630474486,459.90985538946046,1.7681854954181317,0.016453001538002998,0.4088077373555356,0.011809195897438757,0.9986106293047707,0.0007049184369412043,,1.0947939874587151,1.6985817851106062
31987,10441,2800,HPK,7.6,148.2,3.42,500,233,252,5301.328788033517,235.90603482110347,10998.263089118074,451.2642006075019,,,,,,,,,
31988,10441,3400,HPK,7.6,148.2,3.42,500,235,251,4957.993037889945,227.72816241587356,10239.1723058985,434.62865895954315,,,,,,,,,
31989,10441,4000,HPK,7.6,148.2,3.42,500,235,251,5321.0102646058795,236.08165474839925,11269.496598607282,456.28857992919905,,,,,,,,,
31996,10441,1400,HPK,7.6,148.2,3.42,550,228,270,9115.015886708745,308.85053105639133,8804.444321063273,403.1278123986945,,,,,,,,,
31997,10441,1800,HPK,7.6,148.2,3.42,550,221,256,6934.914312491633,269.32975443465773,8689.45974068143,400.38916998521694,1.9380009918929257,0.0060087314841189565,0.14062717716561043,0.004014917714308688,0.947445041272098,0.0029125831406773828,,0.7543900973242113,1.94846491380136
31998,10441,2200,HPK,7.6,148.2,3.42,550,223,254,4714.134861970131,222.72193734987084,9910.818961779725,428.8830814484964,1.9438520114975497,0.010451170066243853,0.19415398782248125,0.014545686390877693,0.9859705993742035,0.0014028962415690849,0.5508505094083165,0.7711907131716429,1.943780503145054
31999,10441,2800,HPK,7.6,148.2,3.42,550,231,252,4112.282687310814,207.4372212604702,8784.997881265217,402.6597177075922,,,,,,,,,
32000,10441,3400,HPK,7.6,148.2,3.42,550,232,251,4643.818686491051,220.8839296812029,9469.30669701984,418.89746565985814,,,,,,,,,
32001,10441,4000,HPK,7.6,148.2,3.42,550,235,251,4407.914663107165,214.82861576196566,10341.496910994874,437.00800572945644,,,,,,,,,
32008,10441,1400,HPK,7.6,148.2,3.42,600,233,256,7378.430299322794,278.0850550527658,7116.989855646002,362.7153891420057,,,,,,,,,
32009,10441,1800,HPK,7.6,148.2,3.42,600,228,256,5629.74824268141,242.71568140512156,7917.868558509395,382.27829630664803,2.1913014497897834,0.006194848712965051,0.1476121955907772,0.004270693639251255,0.9613521093123036,0.002825918673236172,,0.7443571915183875,2.1975991730341846
