run,batch,acquired_apas,aimed_channels,pde
30227,2394,"[3,4]","[11136]",0.4
30099,2394,"[3,4]","[11101,11103,11104,11106,11127]",0.4
30100,2394,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30101,2394,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30102,2394,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30103,2394,"[1]",b,"[10402,10423,10424,10427,10436]",
30104,2394,"[2]",b,"[10914,10916,10941]",
30105,2394,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30106,2394,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30107,2394,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30108,2394,"[2]",b,"[10923]",
30109,2394,"[2]",b,"[10921]",
30110,2394,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
30111,2394,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
30112,2394,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
30113,2394,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
30229,2394,"[3,4]","[11136]",0.45
30115,2394,"[3,4]","[11101,11103,11104,11106,11127]",0.45
30116,2394,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30117,2394,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30118,2394,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30119,2394,"[1]",b,"[10402,10423,10424,10427,10436]",
30120,2394,"[2]",b,"[10914,10916,10941]",
30121,2394,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30122,2394,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30123,2394,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30124,2394,"[2]",b,"[10923]",
30125,2394,"[2]",b,"[10921]",
30126,2394,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.5
30127,2394,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.5
30128,2394,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.5
30129,2394,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.5
30233,2394,"[3,4]","[11136]",0.5
30131,2394,"[3,4]","[11101,11103,11104,11106,11127]",0.5
30132,2261,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30133,2261,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30134,2261,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30135,2261,"[1]",b,"[10402,10423,10424,10427,10436]",
30136,2261,"[2]",b,"[10914,10916,10941]",
30137,2261,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30138,2261,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30139,2261,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30140,2261,"[2]",b,"[10923]",
30141,2261,"[2]",b,"[10921]",
30142,2261,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
30143,2261,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
30144,2261,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
30145,2261,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
30234,2261,"[3,4]","[11136]",0.4
30147,2261,"[3,4]","[11101,11103,11104,11106,11127]",0.4
30148,2261,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30149,2261,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30150,2261,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30151,2261,"[1]",b,"[10402,10423,10424,10427,10436]",
30152,2261,"[2]",b,"[10914,10916,10941]",
30153,2261,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30154,2261,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30155,2261,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30156,2261,"[2]",b,"[10923]",
30157,2261,"[2]",b,"[10921]",
30158,2261,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
30159,2261,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
30160,2261,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
30161,2261,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
30236,2261,"[3,4]","[11136]",0.45
30163,2261,"[3,4]","[11101,11103,11104,11106,11127]",0.45
30164,2261,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30165,2261,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30166,2261,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30167,2261,"[1]",b,"[10402,10423,10424,10427,10436]",
30168,2261,"[2]",b,"[10914,10916,10941]",
30169,2261,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30170,2261,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
