Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated
32332,10945,4000,HPK,7.35,128.9,3.46,600,224,251,5145.499670688021,231.97704041253306,8348.073539797368,393.96994850478916,2.297721626118264,0.0178089520333371,0.3585373437320223,0.022079364768612386,0.9956690917885866,0.0012664522702284242,0.5742269755070344,0.9023566757967687,2.2447495055350624,2.2446069729815323
32339,10945,1400,HPK,7.35,128.9,3.46,650,231,258,7728.128497004289,284.2838022080191,8217.30938668085,390.85754877044957,,,,,,,,,,2.4103653613840934
32340,10945,1800,HPK,7.35,128.9,3.46,650,223,261,6705.900656105321,265.07399795137917,6351.9781214775385,343.9789005657132,2.4453275631109057,0.009624801834059227,0.20980465002164456,0.0051995596607262995,0.9695170710708696,0.004240124535727252,,1.0045756083659252,2.458514721191283,2.4103653613840934
32341,10945,2200,HPK,7.35,128.9,3.46,650,224,256,6248.644361901147,257.2526172603893,7512.494464477763,376.0951363364893,2.4262162591225978,0.007672413235930486,0.17464854474123662,0.004394400740669213,0.9648736588965342,0.002546764243176902,,0.8304729184148298,2.4370952735764537,2.4103653613840934
32342,10945,2800,HPK,7.35,128.9,3.46,650,221,255,5043.50204004939,229.963898585778,7008.941619990098,361.45856503226565,2.419768143833679,0.007994254080204932,0.15630542928154442,0.004817568121596075,0.9781029555832985,0.0014562133569915314,0.5021136460790658,0.6904062633587156,2.4163636951218477,2.4103653613840934
32343,10945,3400,HPK,7.35,128.9,3.46,650,219,253,4831.841820792617,225.28578652728737,7581.556634750927,376.26633806052513,2.4306129842207067,0.010527808576394238,0.17637326903535427,0.007061490666534304,0.9872853333087688,0.001026834810381183,0.5329435886068952,0.6852131853517225,2.3410607473128535,2.4103653613840934
32344,10945,4000,HPK,7.35,128.9,3.46,650,221,253,4243.09973501266,210.84132095110337,6612.018242763212,350.9294911028827,2.4336435197669775,0.012813725135810694,0.2015426872080803,0.00986442276864817,0.9883109228837536,0.0009732620381436852,0.653694526685773,0.817118158357216,2.413223299978524,2.4103653613840934
32351,10945,1400,HPK,7.35,128.9,3.46,700,228,259,6689.9080281606175,266.1102531134437,6718.135488195051,355.5614349156666,,,,,,,,,,2.576123749786654
32352,10945,1800,HPK,7.35,128.9,3.46,700,226,256,6859.463890274046,268.0214326110711,6441.728939195441,346.3094932343652,2.5281528965746944,0.008923501327250838,0.16659301883029315,0.00452213383034504,0.9697179044739619,0.0042569858470067334,,0.7738557020946693,2.538559799863036,2.576123749786654
32353,10945,2200,HPK,7.35,128.9,3.46,700,222,257,5535.060661724863,242.03130389073218,6773.305589873637,356.98454920585016,2.5218354952107176,0.0075910627654625085,0.16564469705336637,0.004088403627683437,0.9691489623474734,0.0024245297712831015,0.5379308434002041,0.7824448631275702,2.530466578765659,2.576123749786654
32354,10945,2800,HPK,7.35,128.9,3.46,700,224,253,4600.865390290887,219.5873243806393,6316.1462609308455,343.0459758718363,2.5070223059969607,0.007471225651241031,0.1373931040619775,0.0041049232606279185,0.9765984756668812,0.0014671505467979684,0.44544497395543825,0.6363499627934832,2.507399665234276,2.576123749786654
32355,10945,3400,HPK,7.35,128.9,3.46,700,225,251,4379.579011869976,213.95643569476388,6206.436022124941,339.6010696643282,2.520777509853265,0.009728975514446292,0.1444617155496862,0.0058012216444146975,0.9833284508005258,0.0011157911252496766,0.45951615712227367,0.6892742356834098,2.5105314816581643,2.576123749786654
