Run,SiPM,Integrators,VGain,DaphneCh,OfflineCh,RMS
26378,FBK,ON,2700,11113,55,2.6288686417913443
26378,FBK,ON,2700,11114,65,2.684687092074101
26378,FBK,ON,2700,11115,56,2.8332898852996715
26378,FBK,ON,2700,11116,75,2.790351017172498
26378,FBK,ON,2700,11117,46,2.88469948662106
26378,FBK,ON,2700,11120,49,2.832543662257756
26378,FBK,ON,2700,11121,47,2.83678485898712
26378,FBK,ON,2700,11122,59,2.682241398659864
26378,FBK,ON,2700,11123,57,2.795796043166455
26378,FBK,ON,2700,11124,67,2.7796042151345537
26378,FBK,ON,2700,11125,69,2.691702502491089
26378,FBK,ON,2700,11126,77,2.7844318819389784
26378,FBK,ON,2700,11127,79,2.682245675634627
26378,HPK,ON,2700,11130,43,2.8057328685568703
26378,HPK,ON,2700,11131,41,2.7858600075115443
26378,HPK,ON,2700,11132,53,2.887436184400071
26378,HPK,ON,2700,11133,51,2.8877490350887642
26378,HPK,ON,2700,11134,61,2.717228772833659
26378,HPK,ON,2700,11135,63,2.8097787370822087
26378,HPK,ON,2700,11136,71,2.749858176793755
26378,HPK,ON,2700,11137,73,2.6946425657035484
26378,HPK,ON,2700,11140,78,2.8176713851195285
26378,HPK,ON,2700,11141,74,2.7318759732764684
26378,HPK,ON,2700,11142,68,2.8601753435115707
26378,HPK,ON,2700,11143,64,2.941514371779333
26378,HPK,ON,2700,11144,54,2.7149130814408227
26378,HPK,ON,2700,11145,58,2.8652828641658314
26378,HPK,ON,2700,11146,44,2.7748987073149487
26378,HPK,ON,2700,11147,48,2.7885134011505555
26438,HPK,ON,2700,11200,30,2.7953478577485176
26438,HPK,ON,2700,11201,1,2.7549349844092115
26438,HPK,ON,2700,11202,20,2.8431158198259863
26438,HPK,ON,2700,11203,11,2.7944529038941304
26438,HPK,ON,2700,11204,21,2.725318831272895
26438,HPK,ON,2700,11205,10,2.851227713628696
26438,HPK,ON,2700,11206,31,2.8367732485203137
26438,HPK,ON,2700,11207,0,2.942210934784722
26438,HPK,ON,2700,11210,32,2.754617899015895
26438,HPK,ON,2700,11211,3,2.7308187990939117
26438,HPK,ON,2700,11212,22,2.772089741034864
26438,HPK,ON,2700,11213,13,2.803206580849668
26438,HPK,ON,2700,11214,23,2.7945477755339168
