run,channels
30113,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30229,[11136]
30115,"[11101, 11103, 11104, 11106, 11127]"
30116,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30117,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30118,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30119,"[10402, 10423, 10424, 10427, 10436]"
30120,"[10914, 10916, 10941]"
30121,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30122,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30123,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30124,[10923]
30125,[10921]
30126,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30127,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30128,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30129,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30233,[11136]
30131,"[11101, 11103, 11104, 11106, 11127]"
30132,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30133,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30134,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30135,"[10402, 10423, 10424, 10427, 10436]"
30136,"[10914, 10916, 10941]"
30137,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30138,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30139,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30140,[10923]
30141,[10921]
30142,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30143,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30144,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30145,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30234,[11136]
30147,"[11101, 11103, 11104, 11106, 11127]"
30148,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30149,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30150,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30151,"[10402, 10423, 10424, 10427, 10436]"
30152,"[10914, 10916, 10941]"
30153,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30154,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30155,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30156,[10923]
30157,[10921]
30158,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30159,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30160,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30161,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30236,[11136]
30163,"[11101, 11103, 11104, 11106, 11127]"
30164,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30165,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30166,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30167,"[10402, 10423, 10424, 10427, 10436]"
30168,"[10914, 10916, 10941]"
30169,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30170,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30171,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30172,[10923]
30173,[10921]
30174,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30175,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30176,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30177,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30238,[11136]
30179,"[11101, 11103, 11104, 11106, 11127]"
30239,"[10401, 10403, 10411, 10413, 10415, 10445, 10447, 10914, 10916, 10941]"
30240,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446, 10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30241,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437, 10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30242,"[10402, 10423, 10424, 10427, 10436, 10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30243,"[10400, 10406, 10425, 10426, 10923]"
30245,"[10420, 10422, 10921]"
30248,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30250,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30252,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30254,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30256,[11136]
