date,run,ov,vgain,integrator,mask,width,intensity
15/10/2024,30033,"[3.0, 7.0]",2660,0,1,1,1800
16/10/2024,30222,"[3.0, 7.0]",2660,0,1,1,2000
15/10/2024,30035,"[3.0, 7.0]",2660,0,1,1,2200
15/10/2024,30036,"[2.0, 3.5]",2527,0,50,20,1400
15/10/2024,30037,"[2.0, 3.5]",2527,0,50,20,1800
15/10/2024,30038,"[2.0, 3.5]",2527,0,50,20,2200
15/10/2024,30039,"[2.0, 3.5]",2527,0,50,20,2800
15/10/2024,30040,"[2.0, 3.5]",2527,0,50,20,1400
15/10/2024,30041,"[2.0, 3.5]",2527,0,50,20,1800
15/10/2024,30042,"[2.0, 3.5]",2527,0,50,20,2200
15/10/2024,30043,"[2.0, 3.5]",2527,0,50,20,2800
15/10/2024,30044,"[2.0, 3.5]",2527,0,50,20,3400
15/10/2024,30045,"[2.0, 3.5]",2527,0,50,20,4000
15/10/2024,30046,"[2.0, 3.5]",2527,0,1,1,1400
15/10/2024,30047,"[2.0, 3.5]",2527,0,1,1,1500
15/10/2024,30048,"[2.0, 3.5]",2527,0,1,1,1600
15/10/2024,30049,"[2.0, 3.5]",2527,0,1,1,1800
16/10/2024,30223,"[2.0, 3.5]",2527,0,1,1,2000
15/10/2024,30051,"[2.0, 3.5]",2527,0,1,1,2200
15/10/2024,30052,"[2.5, 4.5]",2527,0,50,20,1400
15/10/2024,30053,"[2.5, 4.5]",2527,0,50,20,1800
15/10/2024,30054,"[2.5, 4.5]",2527,0,50,20,2200
15/10/2024,30055,"[2.5, 4.5]",2527,0,50,20,2800
15/10/2024,30056,"[2.5, 4.5]",2527,0,50,20,1400
15/10/2024,30057,"[2.5, 4.5]",2527,0,50,20,1800
15/10/2024,30058,"[2.5, 4.5]",2527,0,50,20,2200
15/10/2024,30059,"[2.5, 4.5]",2527,0,50,20,2800
15/10/2024,30060,"[2.5, 4.5]",2527,0,50,20,3400
15/10/2024,30061,"[2.5, 4.5]",2527,0,50,20,4000
15/10/2024,30062,"[2.5, 4.5]",2527,0,1,1,1400
15/10/2024,30063,"[2.5, 4.5]",2527,0,1,1,1500
15/10/2024,30064,"[2.5, 4.5]",2527,0,1,1,1600
15/10/2024,30065,"[2.5, 4.5]",2527,0,1,1,1800
16/10/2024,30225,"[2.5, 4.5]",2527,0,1,1,2000
15/10/2024,30067,"[2.5, 4.5]",2527,0,1,1,2200
15/10/2024,30068,"[3.0, 7.0]",2527,0,50,20,1400
15/10/2024,30069,"[3.0, 7.0]",2527,0,50,20,1800
15/10/2024,30070,"[3.0, 7.0]",2527,0,50,20,2200
15/10/2024,30071,"[3.0, 7.0]",2527,0,50,20,2800
15/10/2024,30072,"[3.0, 7.0]",2527,0,50,20,1400
15/10/2024,30073,"[3.0, 7.0]",2527,0,50,20,1800
15/10/2024,30074,"[3.0, 7.0]",2527,0,50,20,2200
15/10/2024,30075,"[3.0, 7.0]",2527,0,50,20,2800
15/10/2024,30076,"[3.0, 7.0]",2527,0,50,20,3400
15/10/2024,30077,"[3.0, 7.0]",2527,0,50,20,4000
15/10/2024,30078,"[3.0, 7.0]",2527,0,1,1,1400
15/10/2024,30079,"[3.0, 7.0]",2527,0,1,1,1500
15/10/2024,30080,"[3.0, 7.0]",2527,0,1,1,1600
15/10/2024,30081,"[3.0, 7.0]",2527,0,1,1,1800
16/10/2024,30226,"[3.0, 7.0]",2527,0,1,1,2000
15/10/2024,30083,"[3.0, 7.0]",2527,0,1,1,2200
15/10/2024,30084,"[2.0, 3.5]",2394,0,50,20,1400
15/10/2024,30085,"[2.0, 3.5]",2394,0,50,20,1800
15/10/2024,30086,"[2.0, 3.5]",2394,0,50,20,2200
15/10/2024,30087,"[2.0, 3.5]",2394,0,50,20,2800
15/10/2024,30088,"[2.0, 3.5]",2394,0,50,20,1400
15/10/2024,30089,"[2.0, 3.5]",2394,0,50,20,1800
15/10/2024,30090,"[2.0, 3.5]",2394,0,50,20,2200
15/10/2024,30091,"[2.0, 3.5]",2394,0,50,20,2800
15/10/2024,30092,"[2.0, 3.5]",2394,0,50,20,3400
15/10/2024,30093,"[2.0, 3.5]",2394,0,50,20,4000
15/10/2024,30094,"[2.0, 3.5]",2394,0,1,1,1400
15/10/2024,30095,"[2.0, 3.5]",2394,0,1,1,1500
15/10/2024,30096,"[2.0, 3.5]",2394,0,1,1,1600
15/10/2024,30097,"[2.0, 3.5]",2394,0,1,1,1800
16/10/2024,30227,"[2.0, 3.5]",2394,0,1,1,2000
15/10/2024,30099,"[2.0, 3.5]",2394,0,1,1,2200
15/10/2024,30100,"[2.5, 4.5]",2394,0,50,20,1400
15/10/2024,30101,"[2.5, 4.5]",2394,0,50,20,1800
15/10/2024,30102,"[2.5, 4.5]",2394,0,50,20,2200
15/10/2024,30103,"[2.5, 4.5]",2394,0,50,20,2800
15/10/2024,30104,"[2.5, 4.5]",2394,0,50,20,1400
15/10/2024,30105,"[2.5, 4.5]",2394,0,50,20,1800
15/10/2024,30106,"[2.5, 4.5]",2394,0,50,20,2200
15/10/2024,30107,"[2.5, 4.5]",2394,0,50,20,2800
15/10/2024,30108,"[2.5, 4.5]",2394,0,50,20,3400
15/10/2024,30109,"[2.5, 4.5]",2394,0,50,20,4000
15/10/2024,30110,"[2.5, 4.5]",2394,0,1,1,1400
15/10/2024,30111,"[2.5, 4.5]",2394,0,1,1,1500
15/10/2024,30112,"[2.5, 4.5]",2394,0,1,1,1600
15/10/2024,30113,"[2.5, 4.5]",2394,0,1,1,1800
16/10/2024,30229,"[2.5, 4.5]",2394,0,1,1,2000
15/10/2024,30115,"[2.5, 4.5]",2394,0,1,1,2200
15/10/2024,30116,"[3.0, 7.0]",2394,0,50,20,1400
15/10/2024,30117,"[3.0, 7.0]",2394,0,50,20,1800
15/10/2024,30118,"[3.0, 7.0]",2394,0,50,20,2200
15/10/2024,30119,"[3.0, 7.0]",2394,0,50,20,2800
15/10/2024,30120,"[3.0, 7.0]",2394,0,50,20,1400
15/10/2024,30121,"[3.0, 7.0]",2394,0,50,20,1800
15/10/2024,30122,"[3.0, 7.0]",2394,0,50,20,2200
15/10/2024,30123,"[3.0, 7.0]",2394,0,50,20,2800
15/10/2024,30124,"[3.0, 7.0]",2394,0,50,20,3400
15/10/2024,30125,"[3.0, 7.0]",2394,0,50,20,4000
15/10/2024,30126,"[3.0, 7.0]",2394,0,1,1,1400
15/10/2024,30127,"[3.0, 7.0]",2394,0,1,1,1500
15/10/2024,30128,"[3.0, 7.0]",2394,0,1,1,1600
15/10/2024,30129,"[3.0, 7.0]",2394,0,1,1,1800
16/10/2024,30233,"[3.0, 7.0]",2394,0,1,1,2000
15/10/2024,30131,"[3.0, 7.0]",2394,0,1,1,2200
15/10/2024,30132,"[2.0, 3.5]",2261,0,50,20,1400
15/10/2024,30133,"[2.0, 3.5]",2261,0,50,20,1800
15/10/2024,30134,"[2.0, 3.5]",2261,0,50,20,2200
15/10/2024,30135,"[2.0, 3.5]",2261,0,50,20,2800
15/10/2024,30136,"[2.0, 3.5]",2261,0,50,20,1400
15/10/2024,30137,"[2.0, 3.5]",2261,0,50,20,1800
15/10/2024,30138,"[2.0, 3.5]",2261,0,50,20,2200
15/10/2024,30139,"[2.0, 3.5]",2261,0,50,20,2800
15/10/2024,30140,"[2.0, 3.5]",2261,0,50,20,3400
15/10/2024,30141,"[2.0, 3.5]",2261,0,50,20,4000
15/10/2024,30142,"[2.0, 3.5]",2261,0,1,1,1400
15/10/2024,30143,"[2.0, 3.5]",2261,0,1,1,1500
15/10/2024,30144,"[2.0, 3.5]",2261,0,1,1,1600
15/10/2024,30145,"[2.0, 3.5]",2261,0,1,1,1800
16/10/2024,30234,"[2.0, 3.5]",2261,0,1,1,2000
15/10/2024,30147,"[2.0, 3.5]",2261,0,1,1,2200
15/10/2024,30148,"[2.5, 4.5]",2261,0,50,20,1400
15/10/2024,30149,"[2.5, 4.5]",2261,0,50,20,1800
15/10/2024,30150,"[2.5, 4.5]",2261,0,50,20,2200
