Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
32038,11121,1400,FBK,6.25,155.3,3.32,700,223,252,6421.200969763332,184.36813484437337,6954.683545523646,255.83216974735973,2.5415775394500226,0.004339495400093707,0.07672852262119287,0.0022532523846689814,0.9513496599419147,0.002403578990155475,0.3215512219053731,0.36748711074899765,2.5499219269326825
32039,11121,1500,FBK,6.25,155.3,3.32,700,222,251,5145.430620453388,165.03976410085036,6935.86166853982,255.48574823470045,2.5269882737982075,0.004644704261737909,0.08020563050467397,0.002690370263880061,0.9734066754912803,0.0009759065505364761,0.40132440613077014,0.40132440613077014,2.5232147256981494
32040,11121,1600,FBK,6.25,155.3,3.32,700,230,251,4642.885942514529,156.7791184755313,6889.329805996473,254.63695676069665,2.525067809462025,0.012131328289878951,0.11380873469956751,0.008358981266536517,0.9933344744645809,0.00043202771590417077,0.46123587876876737,0.46123587876876737,2.506410682939624
32041,11121,1800,FBK,6.25,155.3,3.32,700,231,249,4295.512285757622,150.7429294680163,7288.499225970787,261.81062096047964,,,,,,,,,
32050,11121,1400,FBK,6.25,155.3,3.32,750,226,250,5673.357793034551,173.43960851451732,7192.144541782533,260.3731144503236,2.6910616813644324,0.004474116409247664,0.08639150830928358,0.0025472411448787605,0.9565334195983345,0.0025299873806690076,0.4119347674678471,0.4119347674678471,2.698393254579655
32051,11121,1500,FBK,6.25,155.3,3.32,750,228,253,4822.62246196509,159.8683779033921,6821.154896142075,253.5062252473801,2.6882396098000205,0.004367992362203088,0.09494773302100966,0.002774863220549942,0.9743305753827488,0.0009849611290391191,0.39888234753012863,0.15955293901205136,2.705954579790532
32052,11121,1600,FBK,6.25,155.3,3.32,750,230,251,4143.376115532628,149.41396415663974,6848.753469396513,256.12885766088993,2.684836287971653,0.010262707467162624,0.10887804210919592,0.00820413206672635,0.9911279093210784,0.0005004699782221178,0.34881795602980237,0.34881795602980237,2.6772418056540364
32053,11121,1800,FBK,6.25,155.3,3.32,750,234,248,3732.3900628846964,284.5920742567683,6481.049411520713,500.0238177337452,,,,,,,0.0,,
32062,11121,1400,FBK,6.25,155.3,3.32,800,225,253,5571.354004257108,171.77220258954475,6185.685814612454,241.32658797902434,2.8997426844432734,0.004380336457485479,0.09837734993095654,0.00281005210637969,0.9577897877632416,0.0027605450110433916,0.4565006942893026,0.502150763718233,2.908427979593003
32063,11121,1500,FBK,6.25,155.3,3.32,800,230,250,4450.826754912009,307.87012425347416,6360.352109092759,490.7118186857347,2.9103029978718076,0.007779823887139381,0.09518934195373613,0.005283196791486144,0.9752449800135071,0.001970194627377131,0.4030491784608179,0.4836590141529813,2.912849790400179
